Level,Date and Time,Source,Event ID,Task Category
Warning,7/18/2018 3:26:31 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Warning,7/18/2018 3:06:15 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name tdhformatproperty timed out after none of the configured DNS servers responded.
Information,7/18/2018 2:47:31 PM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Error,7/18/2018 2:47:24 PM,Microsoft-Windows-Eventlog,40,None,The event logging service encountered an error when attempting to apply one or more policy settings.
Information,7/18/2018 2:47:24 PM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,7/18/2018 2:47:24 PM,Microsoft-Windows-GroupPolicy,1502,None,The Group Policy settings for the computer were processed successfully. New settings from 21 Group Policy objects were detected and applied.
Information,7/18/2018 2:44:15 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/18/2018 2:41:32 PM,Microsoft-Windows-GroupPolicy,1503,None,The Group Policy settings for the user were processed successfully. New settings from 9 Group Policy objects were detected and applied.
Information,7/18/2018 2:40:05 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,7/18/2018 2:37:33 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name zgfjeih timed out after none of the configured DNS servers responded.
Information,7/18/2018 2:35:40 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,7/18/2018 2:34:00 PM,Microsoft-Windows-Time-Service,37,None,The time provider NtpClient is currently receiving valid time data from C11PICORPDC1.corp.premierinc.com (ntp.d|0.0.0.0:123->10.10.240.117:123).
Warning,7/18/2018 2:33:55 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/18/2018 2:33:53 PM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2018‎-‎07‎-‎18T20:31:47.243585300Z
Wake Time: ‎2018‎-‎07‎-‎18T20:33:51.220311400Z

Wake Source: Unknown"
Information,7/18/2018 2:33:52 PM,e1iexpress,32,None,"Intel(R) 82579LM Gigabit Network Connection
 Network link has been established at 1Gbps full duplex.
"
Information,7/18/2018 2:33:50 PM,Microsoft-Windows-Kernel-Boot,32,None,The bootmgr spent 0 ms waiting for user input.
Information,7/18/2018 2:33:50 PM,Microsoft-Windows-Kernel-Boot,18,None,There are 0x1 boot options on this system.
Information,7/18/2018 2:33:50 PM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,7/18/2018 2:33:50 PM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,7/18/2018 2:33:50 PM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,7/18/2018 2:33:49 PM,MEIx64,2,None,Intel(R) Management Engine Interface driver has started successfully.
Warning,7/18/2018 2:33:49 PM,e1iexpress,27,None,"Intel(R) 82579LM Gigabit Network Connection
 Network link is disconnected.
"
Information,7/18/2018 2:33:48 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2018‎-‎07‎-‎18T20:33:48.500000000Z from ‎2018‎-‎07‎-‎18T20:32:10.433410000Z.

Change Reason: System time synchronized with the hardware clock."
Information,7/18/2018 2:32:10 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,7/18/2018 2:32:10 PM,BROWSER,8033,None,The browser has forced an election on network \Device\NetBT_Tcpip_{CFAF5E97-E3D1-4F0F-B282-9B1C710A19FF} because a master browser was stopped.
Information,7/18/2018 2:32:09 PM,BROWSER,8033,None,The browser has forced an election on network \Device\NetBT_Tcpip_{16292CE8-F4C8-4D5F-AC01-46C988FCFA75} because a master browser was stopped.
Information,7/18/2018 2:32:00 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,7/18/2018 2:31:48 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2018‎-‎07‎-‎18T20:31:48.290000000Z from ‎2018‎-‎07‎-‎18T20:31:48.301628900Z.

Change Reason: An application or system component changed the time."
Information,7/18/2018 2:31:46 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Warning,7/18/2018 2:27:29 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/18/2018 2:23:53 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/18/2018 2:21:45 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/18/2018 2:20:50 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/18/2018 2:18:26 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,7/18/2018 2:16:02 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name _ldap._tcp.TheraDoc._sites.dc._msdcs.45212MLIU-7 timed out after none of the configured DNS servers responded.
Information,7/18/2018 2:08:18 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1056,None,A new self signed certificate to be used for RD Session Host Server authentication on SSL connections was generated. The name on this certificate is 45212MLIU-7.corp.premierinc.com. The SHA1 hash of the certificate is in the event data.
Information,7/18/2018 2:07:10 PM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Visual Studio Standard Collector Service 150
Service File Name:  ""C:\Program Files (x86)\Microsoft Visual Studio\Shared\Common\DiagnosticsHub.Collection.Service\StandardCollector.Service.exe""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Information,7/18/2018 2:01:06 PM,Microsoft-Windows-Ntfs,98,None,Volume Windows (\Device\HarddiskVolumeShadowCopy56) is healthy.  No action is needed.
Information,7/18/2018 1:52:50 PM,Microsoft-Windows-GroupPolicy,1501,None,The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,7/18/2018 1:41:38 PM,Microsoft-Windows-Ntfs,98,None,Volume Windows (\Device\HarddiskVolumeShadowCopy55) is healthy.  No action is needed.
Information,7/18/2018 1:39:30 PM,Microsoft-Windows-Ntfs,98,None,Volume Windows (\Device\HarddiskVolumeShadowCopy54) is healthy.  No action is needed.
Information,7/18/2018 1:38:41 PM,Microsoft-Windows-Ntfs,98,None,Volume Windows (\Device\HarddiskVolumeShadowCopy53) is healthy.  No action is needed.
Information,7/18/2018 1:37:49 PM,Microsoft-Windows-Ntfs,98,None,Volume Windows (\Device\HarddiskVolumeShadowCopy52) is healthy.  No action is needed.
Warning,7/18/2018 1:34:54 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/18/2018 1:20:57 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/18/2018 1:18:22 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/18/2018 1:17:04 PM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Warning,7/18/2018 1:12:00 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name mpf timed out after none of the configured DNS servers responded.
Warning,7/18/2018 1:11:48 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name mpf timed out after none of the configured DNS servers responded.
Information,7/18/2018 1:07:27 PM,Microsoft-Windows-Ntfs,98,None,Volume Windows (\Device\HarddiskVolumeShadowCopy51) is healthy.  No action is needed.
Warning,7/18/2018 12:42:19 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/18/2018 12:21:08 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/18/2018 12:19:34 PM,Microsoft-Windows-GroupPolicy,1501,None,The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,7/18/2018 12:18:19 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/18/2018 12:00:00 PM,EventLog,6013,None,The system uptime is 1387812 seconds.
Information,7/18/2018 11:59:59 AM,EventLog,6013,None,The system uptime is 1387811 seconds.
Warning,7/18/2018 11:49:42 AM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/18/2018 11:45:28 AM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,7/18/2018 11:20:36 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/18/2018 11:18:23 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,7/18/2018 10:57:04 AM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/18/2018 10:46:37 AM,Microsoft-Windows-GroupPolicy,1501,None,The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Warning,7/18/2018 10:43:57 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name etw timed out after none of the configured DNS servers responded.
Information,7/18/2018 10:27:58 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/18/2018 10:25:43 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/18/2018 10:20:38 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/18/2018 10:18:21 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/18/2018 10:14:31 AM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Warning,7/18/2018 10:09:54 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name relia timed out after none of the configured DNS servers responded.
Warning,7/18/2018 10:04:30 AM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/18/2018 9:52:33 AM,Microsoft-Windows-Ntfs,98,None,Volume Windows (\Device\HarddiskVolumeShadowCopy50) is healthy.  No action is needed.
Information,7/18/2018 9:38:50 AM,Microsoft-Windows-UserModePowerService,22,(18),Reapply power settings upon completion of the provisioning engine's turn 5
Information,7/18/2018 9:38:47 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information,7/18/2018 9:23:18 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/18/2018 9:17:31 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/18/2018 9:17:11 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Warning,7/18/2018 9:15:10 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name nifrbnqbxpy timed out after none of the configured DNS servers responded.
Information,7/18/2018 9:14:40 AM,BROWSER,8032,None,The browser service has failed to retrieve the backup list too many times on transport \Device\NetBT_Tcpip_{D8E1E31A-6CDC-4DF9-A781-06398854202A}. The backup browser is stopping.
Warning,7/18/2018 9:13:39 AM,BROWSER,8021,None,"The browser service was unable to retrieve a list of servers from the browser master \\44825EDUCKWOR-7 on the network \Device\NetBT_Tcpip_{D8E1E31A-6CDC-4DF9-A781-06398854202A}.
 
 Browser master: \\44825EDUCKWOR-7
 Network: \Device\NetBT_Tcpip_{D8E1E31A-6CDC-4DF9-A781-06398854202A}
 
 This event may be caused by a temporary loss of network connectivity. If this message appears again, verify that the server is still connected to the network. The return code is in the Data text box."
Information,7/18/2018 9:12:49 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,7/18/2018 9:12:43 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/18/2018 9:11:58 AM,Microsoft-Windows-Time-Service,37,None,The time provider NtpClient is currently receiving valid time data from C11PICORPDC1.corp.premierinc.com (ntp.d|0.0.0.0:123->10.10.240.117:123).
Warning,7/18/2018 9:11:55 AM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Warning,7/18/2018 9:11:54 AM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/18/2018 9:11:54 AM,e1iexpress,32,None,"Intel(R) 82579LM Gigabit Network Connection
 Network link has been established at 1Gbps full duplex.
"
Information,7/18/2018 9:11:53 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2018‎-‎07‎-‎17T23:37:01.441850900Z
Wake Time: ‎2018‎-‎07‎-‎18T15:11:51.746651200Z

Wake Source: Unknown"
Warning,7/18/2018 9:11:52 AM,Microsoft-Windows-Time-Service,129,None,NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: The entry is not found. (0x800706E1)
Warning,7/18/2018 9:11:52 AM,Microsoft-Windows-Time-Service,129,None,NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: The entry is not found. (0x800706E1)
Information,7/18/2018 9:11:52 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2018‎-‎07‎-‎18T15:11:52.206000000Z from ‎2018‎-‎07‎-‎18T15:11:52.212131200Z.

Change Reason: An application or system component changed the time."
Information,7/18/2018 9:11:51 AM,Microsoft-Windows-Kernel-Boot,32,None,The bootmgr spent 0 ms waiting for user input.
Information,7/18/2018 9:11:51 AM,Microsoft-Windows-Kernel-Boot,18,None,There are 0x1 boot options on this system.
Information,7/18/2018 9:11:51 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,7/18/2018 9:11:51 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,7/18/2018 9:11:51 AM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Warning,7/18/2018 9:11:51 AM,Microsoft-Windows-Time-Service,129,None,NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: The entry is not found. (0x800706E1)
Information,7/18/2018 9:11:51 AM,MEIx64,2,None,Intel(R) Management Engine Interface driver has started successfully.
Warning,7/18/2018 9:11:51 AM,e1iexpress,27,None,"Intel(R) 82579LM Gigabit Network Connection
 Network link is disconnected.
"
Information,7/18/2018 9:11:50 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2018‎-‎07‎-‎18T15:11:50.500000000Z from ‎2018‎-‎07‎-‎17T23:37:12.732815500Z.

Change Reason: System time synchronized with the hardware clock."
Information,7/17/2018 5:37:12 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,7/17/2018 5:37:11 PM,BROWSER,8033,None,The browser has forced an election on network \Device\NetBT_Tcpip_{CFAF5E97-E3D1-4F0F-B282-9B1C710A19FF} because a master browser was stopped.
Information,7/17/2018 5:37:11 PM,BROWSER,8033,None,The browser has forced an election on network \Device\NetBT_Tcpip_{16292CE8-F4C8-4D5F-AC01-46C988FCFA75} because a master browser was stopped.
Information,7/17/2018 5:37:07 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,7/17/2018 5:37:01 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2018‎-‎07‎-‎17T23:37:01.488000000Z from ‎2018‎-‎07‎-‎17T23:37:01.496168400Z.

Change Reason: An application or system component changed the time."
Information,7/17/2018 5:37:00 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Warning,7/17/2018 5:36:58 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Warning,7/17/2018 5:36:58 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Error,7/17/2018 5:36:55 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {C66CD07A-28F4-4E86-BBBF-A84DEEE4BD3D} did not register with DCOM within the required timeout.
Error,7/17/2018 5:36:55 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {C66CD07A-28F4-4E86-BBBF-A84DEEE4BD3D} did not register with DCOM within the required timeout.
Error,7/17/2018 5:36:55 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {C66CD07A-28F4-4E86-BBBF-A84DEEE4BD3D} did not register with DCOM within the required timeout.
Error,7/17/2018 5:36:55 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {C66CD07A-28F4-4E86-BBBF-A84DEEE4BD3D} did not register with DCOM within the required timeout.
